result|stdev|iterations|regulation|learnrate
1.29116|0.6|20|0.200000|0.0076
1.31092|0.6|20|0.200000|0.0081
1.306|0.6|20|0.200000|0.0086
1.79902|0|200|0.800000|0.0016
1.30972|0.6|20|0.200000|0.0091
1.63324|0|280|0.600000|0.0006
1.32152|0.6|20|0.200000|0.0096
1.50527|0|340|0.400000|0.0056
1.74299|0.6|20|0.400000|0.0001
1.80344|0|200|0.800000|0.0021
1.30762|0.6|20|0.400000|0.0006
1.28845|0.6|20|0.400000|0.0011
1.28903|0.6|20|0.400000|0.0016
1.63857|0|280|0.600000|0.0011
1.29403|0.6|20|0.400000|0.0021
1.30222|0.6|20|0.400000|0.0026
1.80533|0|200|0.800000|0.0026
1.50474|0|340|0.400000|0.0061
1.30888|0.6|20|0.400000|0.0031
1.31787|0.6|20|0.400000|0.0036
1.32302|0.6|20|0.400000|0.0041
1.32779|0.6|20|0.400000|0.0046
1.64374|0|280|0.600000|0.0016
1.8053|0|200|0.800000|0.0031
1.33381|0.6|20|0.400000|0.0051
1.33655|0.6|20|0.400000|0.0056
1.34264|0.6|20|0.400000|0.0061
1.34742|0.6|20|0.400000|0.0066
1.50401|0|340|0.400000|0.0066
1.35319|0.6|20|0.400000|0.0071
1.80402|0|200|0.800000|0.0036
1.35736|0.6|20|0.400000|0.0076
1.64847|0|280|0.600000|0.0021
1.36433|0.6|20|0.400000|0.0081
1.36845|0.6|20|0.400000|0.0086
1.37082|0.6|20|0.400000|0.0091
1.3763|0.6|20|0.400000|0.0096
1.80201|0|200|0.800000|0.0041
1.50318|0|340|0.400000|0.0071
1.87255|0.6|20|0.600000|0.0001
1.33765|0.6|20|0.600000|0.0006
1.65175|0|280|0.600000|0.0026
1.32546|0.6|20|0.600000|0.0011
1.33089|0.6|20|0.600000|0.0016
1.79963|0|200|0.800000|0.0046
1.3391|0.6|20|0.600000|0.0021
1.34727|0.6|20|0.600000|0.0026
1.3543|0.6|20|0.600000|0.0031
1.36092|0.6|20|0.600000|0.0036
1.65347|0|280|0.600000|0.0031
1.50228|0|340|0.400000|0.0076
1.79709|0|200|0.800000|0.0051
1.36964|0.6|20|0.600000|0.0041
1.37531|0.6|20|0.600000|0.0046
1.38036|0.6|20|0.600000|0.0051
1.38547|0.6|20|0.600000|0.0056
1.39172|0.6|20|0.600000|0.0061
1.79457|0|200|0.800000|0.0056
1.65389|0|280|0.600000|0.0036
1.3965|0.6|20|0.600000|0.0066
1.50137|0|340|0.400000|0.0081
1.40181|0.6|20|0.600000|0.0071
1.40585|0.6|20|0.600000|0.0076
1.4105|0.6|20|0.600000|0.0081
1.79217|0|200|0.800000|0.0061
1.41479|0.6|20|0.600000|0.0086
1.41815|0.6|20|0.600000|0.0091
1.65338|0|280|0.600000|0.0041
1.42189|0.6|20|0.600000|0.0096
1.50045|0|340|0.400000|0.0086
1.78993|0|200|0.800000|0.0066
1.95701|0.6|20|0.800000|0.0001
1.36939|0.6|20|0.800000|0.0006
1.36161|0.6|20|0.800000|0.0011
1.3699|0.6|20|0.800000|0.0016
1.65225|0|280|0.600000|0.0046
1.3802|0.6|20|0.800000|0.0021
1.78788|0|200|0.800000|0.0071
1.38804|0.6|20|0.800000|0.0026
1.39554|0.6|20|0.800000|0.0031
1.49957|0|340|0.400000|0.0091
1.40225|0.6|20|0.800000|0.0036
1.40876|0.6|20|0.800000|0.0041
1.41455|0.6|20|0.800000|0.0046
1.78605|0|200|0.800000|0.0076
1.65074|0|280|0.600000|0.0051
1.4196|0.6|20|0.800000|0.0051
1.42449|0.6|20|0.800000|0.0056
1.42886|0.6|20|0.800000|0.0061
1.43318|0.6|20|0.800000|0.0066
1.43707|0.6|20|0.800000|0.0071
1.78443|0|200|0.800000|0.0081
1.49871|0|340|0.400000|0.0096
1.44113|0.6|20|0.800000|0.0076
1.44483|0.6|20|0.800000|0.0081
1.64902|0|280|0.600000|0.0056
1.44842|0.6|20|0.800000|0.0086
1.45186|0.6|20|0.800000|0.0091
1.783|0|200|0.800000|0.0086
1.45517|0.6|20|0.800000|0.0096
1.98415|0.6|20|1.000000|0.0001
1.40956|0.6|20|1.000000|0.0006
1.64722|0|280|0.600000|0.0061
